BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
GERALDINE | 1 1/2 ounces Canadian whisky + 1 teaspoon dry vermouth + 1 dash bitters + 1/2 ounce yellow Chartreuse + 1 maraschino cherry + 1/2 ounce Dubonnet Rouge | In a mixing glass half-filled with ice cubes, combine the whisky, Chartreuse, Dubonnet, vermouth, and bitters. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
GREATHEAD | 1 1/2 ounces Canadian whisky + 1/2 ounce applejack | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
HEARTY SUSAN | 1 1/2 ounces blended whiskey + 1/2 ounce cherry brandy + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the whiskey and brandy. Stir well. Strain into a cocktail glass Garnish with the cherry. | Cocktail Glass
HORSE FEATHERS | 2 ounces blended whiskey + 2 dashes bitters + 4 ounces ginger ale | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
HOT DECK | 2 ounces blended whiskey + 1/2 ounce sweet vermouth + 1 ounce green ginger wine | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
IRISH CANADIAN | 1 1/2 ounces Canadian whisky + 1/2 ounce Irish whiskey Mist whisky | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
JERSEY GENTLEMAN | 1 1/2 ounces blended whiskey + 1/2 ounce Pernod + 1 ounce pineapple juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
L.A. COCKTAIL | 2 ounces blended whiskey + 1 teaspoon sweet vermouth + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar + 1 egg + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the whiskey, vermouth, lemon juice, sugar, and egg. Shake well. Strain into a sour glass. Garnish with the cherry. | Sour Glass
LA BELLE QUÉBEC | 1 1/2 ounces Canadian whisky + 1/2 ounce brandy + 1/2 ounce cherry brandy + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
LADYLUV | 1 1/2 ounces blended whiskey + 1/2 ounce añejo rum + 1 teaspoon white crème de cacao + 1/2 ounce dark rum | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
LADY’S COCKTAIL | 2 ounces blended whiskey + 1 teaspoon anisette + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
MADAME RENÉ | 2 ounces blended whiskey + 1 ounce orange juice + 1 dash bitters + 1/2 ounce añejo rum | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MAJOR BRADBURY | 1 1/2 ounces Canadian whisky + 1/2 ounce Grand Marnier + 1 teaspoon dry vermouth + 1 teaspoon sweet vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
MANHASSET | 1 1/2 ounces blended whiskey + 1 teaspoon dry vermouth + 1 teaspoon sweet vermouth + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MANHATTAN | 2 ounces blended whiskey + 3 dashes bitters + 1 maraschino cherry + 3/4 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine the whiskey, vermouth, and bitters. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
MAPLE LEAF | 2 ounces Canadian whisky + 1 teaspoon dark crème de cacao + 1/2 ounce Irish whiskey Mist + 1 ounce heavy cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MENDAY’S PERIL | 1 1/2 ounces blended whiskey + 1/2 ounce lemon juice + 1/2 ounce orange juice + 1/2 ounce cherry brandy + 2 dashes orange bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
MILLIONAIRE | 2 ounces blended whiskey + 1/2 teaspoon grenadine + 1 egg white + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass. | Sour Glass
MOLEHILL LOUNGER | 1 1/2 ounces blended whiskey + 1 teaspoon white crème de cacao + 1/2 ounce dark crème de cacao | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
MOUNTIE | 1 1/2 ounces Canadian whisky + 1/2 ounce Campari whisky | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
NEW YORK COCKTAIL | 2 ounces blended whiskey + 1/2 teaspoon grenadine + 1 lemon twist + 1 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the whiskey, lemon juice, sugar, and grenadine. Shake well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
OLD-FASHIONED | 3 dashes bitters + 1 orange slice + 1 teaspoon water + 1 maraschino cherry + 1 cube + 3 ounces blended whiskey | In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the whiskey. Garnish with the orange slice and the cherry. Serve with a swizzle stick. | Old-Fashioned Glass
OLD GROANER | 2 ounces Canadian whisky + 1/2 ounce amaretto whisky | Pour both of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well. | Old-Fashioned Glass
OLD GROANER’S WIFE | 2 ounces Canadian whisky + 1/2 ounce amaretto + 1 ounce heavy cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
OLD NICK | 2 ounces Canadian whisky + 1/2 ounce lemon juice + 3 dashes orange bitters + 1 lemon twist + 1/2 ounce Drambuie + 1/2 ounce orange juice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the whisky, Drambuie, orange juice, lemon juice, and bitters. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the lemon twist and the cherry. | Old-Fashioned Glass
OPENING COCKTAIL | 2 ounces blended whiskey + 1/2 ounce sweet vermouth + 2 teaspoons grenadine | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
PARK PARADISE | 1 1/2 ounces Canadian whisky + 1 teaspoon maraschino liqueur + 1/2 ounce sweet vermouth + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
PERFECT MANHATTAN | 2 1/2 ounces blended whiskey + 1/2 ounce dry vermouth + 1/2 ounce sweet vermouth + 1 dash bitters + 1 lemon twist or 1 marachino cherry | In a mixing glass half-filled with ice cubes, combine the whiskey, dry vermouth, sweet vermouth, and bitters. Stir well. Strain into a cocktail glass. Garnish with the lemon twist or the cherry. | Cocktail Glass
POOR TIM | 1 1/2 ounces blended whiskey + 1/2 ounce dry vermouth + 2 teaspoons Chambord | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
PREAKNESS | 1 1/2 ounces blended whiskey + 1/2 ounce sweet vermouth + 2 dashes bitters + 1/2 ounce Bénédictine + 1 lemon twist + 1 teaspoon brandy | In a mixing glass half-filled with ice cubes, combine the whiskey, Bénédictine, brandy, vermouth, and bitters. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
PRESBYTERIAN | 2 ounces blended whiskey + 3 ounces club soda + 1 lemon twist + 2 ounces ginger ale | Pour the whiskey, ginger ale, and club soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Highball Glass
PRINCE RUPERT | 1 1/2 ounces blended whiskey + 1/2 ounce anisette + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the whiskey with the anisette. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
PURGAVIE | 1 1/2 ounces Canadian whisky + 2 ounces orange juice + 2 dashes orange bitters + 1/2 ounce Amer Picon + 3 ounces club soda | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
QUEBEC | 2 ounces Canadian whisky + 1/2 ounce dry vermouth + 1 teaspoon Amer Picon + 1 teaspoon maraschino liqueur | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
RATTLESNAKE | 2 ounces blended whiskey + 1 teaspoon Pernod + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ROCHDALE COWBOY | 1 1/2 ounces blended whiskey + 1/2 ounce Southern Comfort + 1/2 ounce orange juice + 1 teaspoon lemon juice + 1/2 teaspoon superfine sugar + 1 dash bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a highball glass almost filled with ice cubes. | Highball Glass
SAND DANCE | 1 1/2 ounces blended whiskey + 1/2 ounce cherry brandy + 2 ounces cranberry juice | Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SAN FRANCISCO | 1 1/2 ounces blended whiskey + 1/2 ounce Bénédictine + 1 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SCREAMIN’ HUDSON | 1 1/2 ounces Canadian whisky + 1/2 ounce Drambuie + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SCRUMPY STRONG | 1 ounce blended whiskey + 6 ounces hard cider | Pour both of the ingredients into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
SEVEN AND SEVEN | 2 ounces Seagram’s 7 + 1 lemon twist + 5 ounces 7-Up | Pour the whiskey and the soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Highball Glass
SHAKIN’ BLUE MONDAY | 1 1/2 ounces Canadian whisky + 1/2 ounce lemon juice + 1/2 ounce blueberry brandy + 1 teaspoon brandy + 1 teaspoon superfine sugar + 1 orange slice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the whisky, blueberry brandy, brandy, lemon juice, and sugar. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. Garnish with the orange slice and the cherry. | Old-Fashioned Glass
SHERMAN TANK | 2 ounces blended whiskey + 1/2 ounce B & B + 1 teaspoon lemon juice + 2 dashes bitters + 1 teaspoon lime juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SOCRATES | 1 1/2 ounces Canadian whisky + 1 teaspoon Cointreau or triple sec + 1/2 ounce apricot brandy + 1 dash bitters | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
SPEAKER OF THE HOUSE | 1 1/2 ounces Canadian whisky + 1 teaspoon cherry brandy + 1/2 ounce lemon juice + 1/2 ounce ginger wine + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the whisky, ginger wine, cherry brandy, and lemon juice. Shake well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
SPY CATCHER | 1 ounce Canadian whisky + 1/2 ounce Sambuca | Pour both of the ingredients into a shot glass. Drink it straight back. | Shot Glass
STILETTO | 2 ounces blended whiskey + 1/2 ounce lemon juice + 1 teaspoon lime juice + 1/2 ounce amaretto | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass almost filled with ice cubes. | Old-Fashioned Glass
STRONGARM | 2 ounces blended whiskey + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
TEACHER’S PET | 1 1/2 ounces blended whiskey + 2 dashes bitters + 1 maraschino cherry + 1/2 ounce dry vermouth + 1 orange slice + 1 teaspoon sweet vermouth | Pour the whiskey, dry vermouth, sweet vermouth, and bitters into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the cherry and the orange slice. | Old-Fashioned Glass
THUNDERCLAP | 1 1/2 ounces blended whiskey + 1 ounce gin + 1 ounce brandy | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
TIGER JUICE | 1 1/2 ounces Canadian whisky + 1/2 ounce lemon juice + 1 ounce orange juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
T.L.C. | 1 1/2 ounces blended whiskey + 1 teaspoon Dubonnet Rouge + 1/2 ounce Cointreau or triple sec + 1 dash bitters + 1 lemon twist + 1 teaspoon Ricard + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the whiskey, Cointreau, Ricard, Dubonnet, and bitters. Stir well. Strain into a cocktail glass. Garnish with the lemon twist and the cherry. | Cocktail Glass
T.N.T. | 1 1/2 ounces blended whiskey + 1 ounce anisette | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
TOWER TOPPER | 1 1/2 ounces Canadian whisky + 1/2 ounce Grand Marnier + 1/2 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
TURTLE | 2 ounces Canadian whisky + 1/2 ounce Bénédictine whisky | In a mixing glass half-filled with ice cubes, combine both of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
TWIN PEAKS | 1 1/2 ounces blended whiskey + 1 teaspoon Cointreau or triple sec + 1/2 ounce Dubonnet Rouge + 1 lemon twist | In a mixing glass half-filled with ice cubes, combine the whiskey, Dubonnet, and Cointreau. Stir well. Strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
TWO TURTLES | 2 ounces Canadian whisky + 1/2 ounce Cointreau or triple sec + 1/2 ounce B & B + 1 maraschino cherry | In a mixing glass half-filled with ice cubes, combine the whisky, B & B, and Cointreau. Stir well. Strain into a cocktail glass. Garnish with the cherry. | Cocktail Glass
WHISKEY COLLINS | 2 ounces blended whiskey + 3 ounces club soda + 1 maraschino cherry + 1 ounce lemon juice + 1 orange slice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes combine the whiskey, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir well and garnish with the cherry and the orange slice. | Collins Glass
WHISKEY COBBLER | 1 teaspoon superfine sugar + 1 maraschino cherry + 1 orange slice + 3 ounces club soda + 1 lemon slice + Crushed ice + 2 ounces blended whiskey | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the whiskey. Stir well. Garnish with the cherry and the orange and lemon slices. | Old-Fashioned Glass
